title,fork,stars,watch,recent_time,writer,url
netdata,"5,715","68,054","1,355","Apr 18, 2024, 11:38 PM GMT+9",netdata,https://github.com/netdata/netdata
supabase,"6,108","65,528",492,"Apr 18, 2024, 10:42 PM GMT+9",supabase,https://github.com/supabase/supabase
gogs,"4,799","44,098","1,022","Apr 15, 2024, 11:36 PM GMT+9",gogs,https://github.com/gogs/gogs
nocodb,"2,898","42,175",353,"Apr 18, 2024, 10:33 PM GMT+9",nocodb,https://github.com/nocodb/nocodb
discourse,"8,123","40,423",898,"Apr 18, 2024, 11:48 PM GMT+9",discourse,https://github.com/discourse/discourse
dbeaver,"3,234","37,283",513,"Apr 18, 2024, 9:38 PM GMT+9",dbeaver,https://github.com/dbeaver/dbeaver
prisma,"1,419","37,117",233,"Apr 4, 2024, 10:09 PM GMT+9",prisma,https://github.com/prisma/prisma
metabase,"4,851","36,418",644,"Apr 19, 2024, 12:38 AM GMT+9",metabase,https://github.com/metabase/metabase
typeorm,"6,171","33,254",346,"Mar 29, 2024, 12:06 AM GMT+9",typeorm,https://github.com/typeorm/typeorm
quivr,"3,101","32,092",269,"Apr 19, 2024, 12:55 AM GMT+9",QuivrHQ,https://github.com/QuivrHQ/quivr
sequelize,"4,243","29,025",416,"Apr 18, 2024, 5:03 PM GMT+9",sequelize,https://github.com/sequelize/sequelize
cal.com,"6,448","28,524",157,"Apr 18, 2024, 9:43 PM GMT+9",calcom,https://github.com/calcom/cal.com
maybe,"2,015","26,440",139,"Apr 16, 2024, 2:25 AM GMT+9",maybe-finance,https://github.com/maybe-finance/maybe
directus,"3,522","25,332",304,"Apr 18, 2024, 10:16 PM GMT+9",directus,https://github.com/directus/directus
redash,"4,247","24,916",577,"Apr 18, 2024, 9:35 PM GMT+9",getredash,https://github.com/getredash/redash
plane,"1,248","23,865",95,"Apr 19, 2024, 12:06 AM GMT+9",makeplane,https://github.com/makeplane/plane
full-stack-fastapi-template,"3,720","22,761",262,"Apr 16, 2024, 11:57 PM GMT+9",tiangolo,https://github.com/tiangolo/full-stack-fastapi-template
postgrest,979,"22,102",341,"Apr 16, 2024, 8:31 AM GMT+9",PostgREST,https://github.com/PostgREST/postgrest
drizzle-orm,432,"19,479",44,"Apr 11, 2024, 4:10 PM GMT+9",drizzle-team,https://github.com/drizzle-team/drizzle-orm
shardingsphere,"6,603","19,422","1,020","Apr 18, 2024, 5:42 AM GMT+9",apache,https://github.com/apache/shardingsphere
