title,fork,stars,watch,recent_time,writer,url
vscode,"27,604","158,005","3,290","Apr 19, 2024, 1:13 AM GMT+9",microsoft,https://github.com/microsoft/vscode
TypeScript,"12,163","97,846","2,134","Apr 19, 2024, 1:06 AM GMT+9",microsoft,https://github.com/microsoft/TypeScript
angular,"24,604","94,446","3,019","Apr 18, 2024, 7:55 AM GMT+9",angular,https://github.com/angular/angular
deno,"5,117","92,845","1,427","Apr 19, 2024, 12:37 AM GMT+9",denoland,https://github.com/denoland/deno
ant-design,"45,714","90,109",228,"Apr 18, 2024, 10:28 PM GMT+9",ant-design,https://github.com/ant-design/ant-design
storybook,"8,988","82,724",919,"Apr 18, 2024, 9:39 PM GMT+9",storybookjs,https://github.com/storybookjs/storybook
bun,"2,417","70,373",613,"Apr 17, 2024, 4:17 AM GMT+9",oven-sh,https://github.com/oven-sh/bun
mermaid,"5,734","66,771",632,"Apr 16, 2024, 12:47 PM GMT+9",mermaid-js,https://github.com/mermaid-js/mermaid
nest,"7,374","64,184",742,"Apr 18, 2024, 4:42 PM GMT+9",nestjs,https://github.com/nestjs/nest
awesome-react,"7,038","61,819","1,507","Apr 18, 2023, 6:53 PM GMT+9",enaqx,https://github.com/enaqx/awesome-react
strapi,"7,496","59,845",664,"Apr 18, 2024, 5:39 PM GMT+9",strapi,https://github.com/strapi/strapi
ionic-framework,"13,515","50,386","1,607","Apr 18, 2024, 4:46 AM GMT+9",ionic-team,https://github.com/ionic-team/ionic-framework
prettier,"4,112","48,221",420,"Apr 12, 2024, 5:14 PM GMT+9",prettier,https://github.com/prettier/prettier
DefinitelyTyped,"29,789","47,087",656,"Apr 18, 2024, 11:59 PM GMT+9",DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped
fuels-ts,"1,229","44,617",118,"Apr 18, 2024, 6:26 PM GMT+9",FuelLabs,https://github.com/FuelLabs/fuels-ts
react,"3,996","43,940",392,"Mar 27, 2024, 5:48 PM GMT+9",typescript-cheatsheets,https://github.com/typescript-cheatsheets/react
30-Days-Of-JavaScript,"9,561","40,848",841,"Jun 9, 2023, 6:40 AM GMT+9",Asabeneh,https://github.com/Asabeneh/30-Days-Of-JavaScript
n8n,"4,947","40,451",333,"Apr 18, 2024, 11:46 PM GMT+9",n8n-io,https://github.com/n8n-io/n8n
type-challenges,"4,295","39,898",152,"Apr 8, 2024, 6:37 AM GMT+9",type-challenges,https://github.com/type-challenges/type-challenges
react-hook-form,"1,976","39,479",169,"Apr 14, 2024, 9:03 AM GMT+9",react-hook-form,https://github.com/react-hook-form/react-hook-form
