title,fork,stars,watch,recent_time,writer,url
devops-exercises,"13,862","63,283","1,180","Feb 2, 2024, 10:29 PM GMT+9",bregman-arie,https://github.com/bregman-arie/devops-exercises
spark,"27,927","38,303","2,032","Apr 18, 2024, 6:49 PM GMT+9",apache,https://github.com/apache/spark
dbeaver,"3,234","37,282",513,"Apr 18, 2024, 9:38 PM GMT+9",dbeaver,https://github.com/dbeaver/dbeaver
tidb,"5,707","36,084","1,273","Apr 18, 2024, 8:43 PM GMT+9",pingcap,https://github.com/pingcap/tidb
ClickHouse,"6,454","34,054",689,"Apr 18, 2024, 10:47 PM GMT+9",ClickHouse,https://github.com/ClickHouse/ClickHouse
sequelize,"4,243","29,025",416,"Apr 18, 2024, 5:03 PM GMT+9",sequelize,https://github.com/sequelize/sequelize
cockroach,"3,615","29,025",696,"Apr 18, 2024, 10:16 PM GMT+9",cockroachdb,https://github.com/cockroachdb/cockroach
directus,"3,522","25,331",304,"Apr 18, 2024, 6:10 AM GMT+9",directus,https://github.com/directus/directus
surrealdb,774,"25,122",161,"Apr 18, 2024, 9:38 PM GMT+9",surrealdb,https://github.com/surrealdb/surrealdb
flink,"12,938","23,129",948,"Apr 18, 2024, 10:09 PM GMT+9",apache,https://github.com/apache/flink
TDengine,"4,797","22,784",696,"Apr 17, 2024, 6:34 PM GMT+9",taosdata,https://github.com/taosdata/TDengine
postgrest,979,"22,102",341,"Apr 16, 2024, 8:31 AM GMT+9",PostgREST,https://github.com/PostgREST/postgrest
osquery,"2,411","21,324",683,"Mar 26, 2024, 4:05 AM GMT+9",osquery,https://github.com/osquery/osquery
drizzle-orm,432,"19,478",44,"Apr 11, 2024, 4:10 PM GMT+9",drizzle-team,https://github.com/drizzle-team/drizzle-orm
shardingsphere,"6,603","19,421","1,020","Apr 18, 2024, 5:42 AM GMT+9",apache,https://github.com/apache/shardingsphere
mybatis-3,"12,663","19,396","1,157","Apr 16, 2024, 10:22 AM GMT+9",mybatis,https://github.com/mybatis/mybatis-3
knex,"2,087","18,722",207,"Apr 7, 2024, 11:33 PM GMT+9",knex,https://github.com/knex/knex
CS-Books,"3,497","18,493",181,"Oct 7, 2023, 12:27 PM GMT+9",forthespada,https://github.com/forthespada/CS-Books
cube,"1,691","17,121",155,"Apr 18, 2024, 6:23 PM GMT+9",cube-js,https://github.com/cube-js/cube
Dapper,"3,642","17,114",937,"Apr 13, 2024, 5:07 PM GMT+9",DapperLib,https://github.com/DapperLib/Dapper
