title,fork,stars,watch,recent_time,writer,url
bootstrap,"78,386","167,405","6,756","Feb 21, 2024, 12:19 AM GMT+9",twbs,https://github.com/twbs/bootstrap
30-seconds-of-code,"11,846","119,031","2,578","Apr 16, 2024, 4:43 AM GMT+9",Chalarangelo,https://github.com/Chalarangelo/30-seconds-of-code
electron,"14,901","111,868","2,862","Apr 18, 2024, 9:04 AM GMT+9",electron,https://github.com/electron/electron
Web-Dev-For-Beginners,"12,158","81,372","2,699","Feb 20, 2024, 1:37 PM GMT+9",microsoft,https://github.com/microsoft/Web-Dev-For-Beginners
animate.css,"16,238","79,704","2,252","Sep 7, 2020, 8:24 PM GMT+9",animate-css,https://github.com/animate-css/animate.css
tailwindcss,"3,930","78,160",607,"Mar 28, 2024, 4:46 AM GMT+9",tailwindlabs,https://github.com/tailwindlabs/tailwindcss
app-ideas,"9,163","74,823","1,828","May 5, 2023, 8:19 PM GMT+9",florinpop17,https://github.com/florinpop17/app-ideas
Font-Awesome,"12,173","72,981","1,366","Apr 3, 2024, 3:56 AM GMT+9",FortAwesome,https://github.com/FortAwesome/Font-Awesome
Front-End-Checklist,"6,350","67,406","1,471","Mar 25, 2024, 10:41 PM GMT+9",thedaviddias,https://github.com/thedaviddias/Front-End-Checklist
html5-boilerplate,"12,158","55,933","2,513","Apr 16, 2024, 11:31 PM GMT+9",h5bp,https://github.com/h5bp/html5-boilerplate
normalize.css,"10,710","51,812","1,494","Nov 5, 2018, 11:29 AM GMT+9",necolas,https://github.com/necolas/normalize.css
anime,"3,635","48,643",751,"Mar 30, 2024, 1:28 AM GMT+9",juliangarnier,https://github.com/juliangarnier/anime
bulma,"3,920","48,556",592,"Apr 17, 2024, 10:16 PM GMT+9",jgthms,https://github.com/jgthms/bulma
prettier,"4,112","48,220",420,"Apr 12, 2024, 5:14 PM GMT+9",prettier,https://github.com/prettier/prettier
parcel,"2,257","43,097",459,"Apr 18, 2024, 2:50 AM GMT+9",parcel-bundler,https://github.com/parcel-bundler/parcel
hyper,"3,452","42,623",481,"Apr 18, 2024, 1:38 PM GMT+9",vercel,https://github.com/vercel/hyper
30-Days-Of-JavaScript,"9,560","40,848",840,"Jun 9, 2023, 6:40 AM GMT+9",Asabeneh,https://github.com/Asabeneh/30-Days-Of-JavaScript
front-end-interview-handbook,"5,642","40,207",766,"Apr 17, 2024, 7:16 PM GMT+9",yangshun,https://github.com/yangshun/front-end-interview-handbook
styled-components,"2,469","40,059",362,"Jan 9, 2024, 6:28 AM GMT+9",styled-components,https://github.com/styled-components/styled-components
materialize,"4,744","38,859",980,"Jun 2, 2020, 1:39 AM GMT+9",Dogfalo,https://github.com/Dogfalo/materialize
